t_s,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,mu,J2,J3
134500.0,4344.681524365045,-7545.740390959702,-4925.714837725268,4.076955762342455,4.051021327451403,-2.6063710995170766,398600.4415,0.0010826269,0.0
134510.0,4385.3643345569935,-7505.08025536251,-4951.680204239754,4.059579276685247,4.080978829879096,-2.5866849444874562,398600.4415,0.0010826269,0.0
134520.0,4425.872571593375,-7464.1213565512735,-4977.448193353187,4.042041245861981,4.110773775008594,-2.5668957489167585,398600.4415,0.0010826269,0.0
134530.0,4466.204623498279,-7422.8653260027295,-5003.017778587021,4.0243423673657155,4.14040498080276,-2.5470043003347205,398600.4415,0.0010826269,0.0
134540.0,4506.3588853014735,-7381.31380697968,-5028.387941357036,4.006483345021227,4.169871271733108,-2.527011390290224,398600.4415,0.0010826269,0.0
134550.0,4546.3337591020645,-7339.468454466582,-5053.557671013931,3.988464888956749,4.19917147882504,-2.5069178143198316,398600.4415,0.0010826269,0.0
134560.0,4586.12765413206,-7297.330935105012,-5078.525964883822,3.9702877155754632,4.228304439702827,-2.486724371916161,398600.4415,0.0010826269,0.0
134570.0,4625.738986819832,-7254.902927129037,-5103.291828308627,3.9519525475267185,4.257268998634337,-2.466431866496085,398600.4415,0.0010826269,0.0
134580.0,4665.166180853507,-7212.186120300545,-5127.854274686397,3.9334601136769924,4.286064006575494,-2.4460411053687636,398600.4415,0.0010826269,0.0
134590.0,4704.407667244295,-7169.182215844541,-5152.2123255115785,3.9148111490805815,4.314688321214486,-2.4255528997035034,398600.4415,0.0010826269,0.0
134600.0,4743.461884389763,-7125.892926384481,-5176.365010415246,3.8960063949500254,4.3431408070157165,-2.404968064497445,398600.4415,0.0010826269,0.0
134610.0,4782.32727813709,-7082.31997587764,-5200.311367205316,3.8770465986262637,4.3714203352634815,-2.384287418543071,398600.4415,0.0010826269,0.0
134620.0,4821.00230184629,-7038.465099550581,-5224.050441906763,3.857932513548513,4.399525784105405,-2.363511784395546,398600.4415,0.0010826269,0.0
134630.0,4859.4854164534445,-6994.33004383474,-5247.581288801852,3.8386648992238803,4.4274560385956,-2.3426419883398704,398600.4415,0.0010826269,0.0
134640.0,4897.775090521284,-6949.916566280287,-5270.902970456053,3.8192445211986743,4.455209990737017,-2.321678860359587,398600.4415,0.0010826269,0.0
134650.0,4935.869800208842,-6905.226435324168,-5294.014557651085,3.7996721510426594,4.482786539519549,-2.3006232341168964,398600.4415,0.0010826269,0.0
134660.0,4973.768029470333,-6860.261430457019,-5316.915129578444,3.7799485662971644,4.510184590968111,-2.2794759469012496,398600.4415,0.0010826269,0.0
134670.0,5011.468270077895,-6815.023342098724,-5339.6037738355135,3.7600745504492066,4.537403058183751,-2.2582378396005907,398600.4415,0.0010826269,0.0
134680.0,5048.969021663869,-6769.513971497843,-5362.079586442046,3.740050892903064,4.564440861384561,-2.236909756670534,398600.4415,0.0010826269,0.0
134690.0,5086.268791781368,-6723.735130661955,-5384.341671877264,3.7198783889487985,4.591296927947048,-2.2154925461009567,398600.4415,0.0010826269,0.0
134700.0,5123.366095964243,-6677.688642287276,-5406.389143116321,3.699557839730607,4.617970192447219,-2.1939870593825,398600.4415,0.0010826269,0.0
134710.0,5160.259457786452,-6631.376339687567,-5428.221121666162,3.679090052215002,4.644459596701388,-2.172394151472979,398600.4415,0.0010826269,0.0
134720.0,5196.947408920885,-6584.80006672237,-5449.8367376007955,3.6584758391588137,4.670764089806699,-2.1507146807636994,398600.4415,0.0010826269,0.0
134730.0,5233.428489197634,-6537.961677724585,-5471.235129596004,3.637716019077014,4.696882628181356,-2.1289495090456803,398600.4415,0.0010826269,0.0
134740.0,5269.701246661746,-6490.863037427442,-5492.415444963517,3.6168114162103624,4.722814175604573,-2.10709950147578,398600.4415,0.0010826269,0.0
134750.0,5305.764237630485,-6443.50602089087,-5513.376839684659,3.59576286049287,4.748557703256237,-2.085165526542728,398600.4415,0.0010826269,0.0
134760.0,5341.6160267501,-6395.892513427307,-5534.1184784435145,3.5745711875190804,4.774112189756276,-2.063148456033055,398600.4415,0.0010826269,0.0
134770.0,5377.255187052157,-6348.024410526975,-5554.6395346596055,3.5532372385111657,4.799476621203741,-2.0410491649969265,398600.4415,0.0010826269,0.0
134780.0,5412.6803000094205,-6299.903617782648,-5574.9391905201355,3.5317618602858363,4.824649991215603,-2.018868531713874,398600.4415,0.0010826269,0.0
134790.0,5447.889955591322,-6251.532050813946,-5595.016637011794,3.510145905221062,4.849631300965244,-1.9966074376584257,398600.4415,0.0010826269,0.0
134800.0,5482.8827523190475,-6202.9116351911725,-5614.871073952163,3.4883902312226023,4.87441955922067,-1.9742667674656311,398600.4415,0.0010826269,0.0
134810.0,5517.65729732024,-6154.044306358738,-5634.501710020738,3.4664957016903446,4.899013782382422,-1.951847408896485,398600.4415,0.0010826269,0.0
134820.0,5552.212206383359,-6104.93200955819,-5653.9077627895895,3.4444631854844507,4.9234129945211915,-1.9293502528032427,398600.4415,0.0010826269,0.0
134830.0,5586.54610401171,-6055.576699750871,-5673.088458753693,3.422293556891304,4.947616227415145,-1.9067761930946285,398600.4415,0.0010826269,0.0
134840.0,5620.657623477159,-6005.980341540255,-5692.043033360937,3.399987695589263,4.9716225205869495,-1.8841261267009373,398600.4415,0.0010826269,0.0
134850.0,5654.545406873578,-5956.144909093963,-5710.7707310418455,3.377546486614212,4.995430921340497,-1.8614009535390246,398600.4415,0.0010826269,0.0
134860.0,5688.2081051700015,-5906.072386065511,-5729.270805239024,3.354970820324916,5.019040484797334,-1.8386015764771868,398600.4415,0.0010826269,0.0
134870.0,5721.644378263557,-5855.764765515796,-5747.54251843637,3.3322615923681633,5.04245027393279,-1.815728901299928,398600.4415,0.0010826269,0.0
134880.0,5754.852895032163,-5805.224049834375,-5765.585142188047,3.3094197036437167,5.065659359611801,-1.7927838366726159,398600.4415,0.0010826269,0.0
134890.0,5787.832333387031,-5754.452250660537,-5783.397957147265,3.286446060269046,5.088666820624439,-1.7697672941060185,398600.4415,0.0010826269,0.0
134900.0,5820.58138032498,-5703.451388804217,-5800.980253094879,3.263341573543859,5.111471743721131,-1.7466801879207292,398600.4415,0.0010826269,0.0
134910.0,5853.098731980598,-5652.22349416677,-5818.331328967834,3.240107159914422,5.134073223647576,-1.7235234352114719,398600.4415,0.0010826269,0.0
