station,t,rho_km,rho_dot_km_s,elev_rad
Station 2,79300.0,4970.675152283777,-0.5779451667600716,0.5737406207222554
Station 2,79310.0,4965.095288653798,-0.5379996654687312,0.5755072974921412
Station 2,79320.0,4959.91569946811,-0.4978920184597482,0.5771514570584072
Station 2,79330.0,4955.137953712703,-0.4576327499285955,0.5786716552927524
Station 2,79340.0,4950.763514232436,-0.4172325615540338,0.5800665421127349
Station 2,79350.0,4946.7937360156575,-0.37670232083556365,0.58133486529129
Station 2,79360.0,4943.229864597519,-0.33605304896373733,0.5824754740368447
Station 2,79370.0,4940.073034586379,-0.29529590825356733,0.583487322322991
Station 2,79380.0,4937.32426831766,-0.25444218917372463,0.5843694719478546
Station 2,79390.0,4934.984474638971,-0.21350329700605258,0.5851210953045681
Station 2,79400.0,4933.054447830113,-0.1724907381720165,0.5857414778458004
Station 2,79410.0,4931.534866661092,-0.13141610626438788,0.5862300202269801
Station 2,79420.0,4930.426293590968,-0.09029106782403673,0.5865862401147149
Station 2,79430.0,4929.729174109877,-0.0491273479030489,0.5868097736489081
Station 2,79440.0,4929.443836226238,-0.007936715456574955,0.5869003765492175
Station 2,79450.0,4929.570490100633,0.033269031393332316,0.5868579248587373
Station 2,79460.0,4930.109227827506,0.07447808017791427,0.5866824153200899
Station 2,79470.0,4931.0600233653,0.11567861894143558,0.5863739653815132
Station 2,79480.0,4932.422732615255,0.15685885109588651,0.585932812832903
Station 2,79490.0,4934.197093648647,0.1980070102259775,0.58535931507418
Station 2,79500.0,4936.382727081772,0.23911137480009806,0.5846539480207353
Station 2,79510.0,4938.979136597546,0.2801602827434069,0.5838173046530032
Station 2,79520.0,4941.985709612186,0.32114214582997025,0.582850093219478
Station 2,79530.0,4945.40171808497,0.3620454638518193,0.5817531351046045
Station 2,79540.0,4949.22631946866,0.40285883852399706,0.5805273623750036
Station 2,79550.0,4953.458557797836,0.4435709870861503,0.5791738150193273
Station 2,79560.0,4958.097364911878,0.4841707555626803,0.577693637898777
Station 2,79570.0,4963.141561809071,0.524647131645377,0.5760880774267999
