t,rho,rhodot,elev_deg,station_id,sc_lat_deg,sc_lon_deg,sc_alt_m
1.26780000000000000e+05,6.22608123228736440e+03,-2.16209770513591426e+00,1.49444445743530174e+01,1,-2.92947528004836713e+01,1.05430824193369617e+02,3.61819678336732068e+03
1.26790000000000000e+05,6.20457005315308925e+03,-2.14017488699032521e+00,1.51973665417903270e+01,1,-2.91212618439545317e+01,1.05753152741177587e+02,3.61815626428593896e+03
1.26800000000000000e+05,6.18327765300827741e+03,-2.11796500099397811e+00,1.54490366503794068e+01,1,-2.89467883923106655e+01,1.06074254840218927e+02,3.61811578699224447e+03
1.26810000000000000e+05,6.16221086621068480e+03,-2.09545859769212983e+00,1.56993985247302277e+01,1,-2.87713427173491141e+01,1.06394136543978917e+02,3.61807535241981896e+03
1.26820000000000000e+05,6.14137054257427189e+03,-2.07266704356503029e+00,1.59483945643322258e+01,1,-2.85949350429594276e+01,1.06712804060509782e+02,3.61803496149939747e+03
1.26830000000000000e+05,6.12075804137256182e+03,-2.04957615666274728e+00,1.61959659479456732e+01,1,-2.84175755443785256e+01,1.07030263747874187e+02,3.61799461515893927e+03
1.26840000000000000e+05,6.10037851734813557e+03,-2.02619574905585287e+00,1.64420526400612985e+01,1,-2.82392743474889869e+01,1.07346522109653989e+02,3.61795431432370788e+03
1.26850000000000000e+05,6.08023553061181155e+03,-2.00252084981675438e+00,1.66865933995355498e+01,1,-2.80600415281596405e+01,1.07661585790526985e+02,3.61791405991633292e+03
1.26860000000000000e+05,6.06032838780934708e+03,-1.97855276186666162e+00,1.69295257905062648e+01,1,-2.78798871116277951e+01,1.07975461571911140e+02,3.61787385285689197e+03
1.26870000000000000e+05,6.04066593207255573e+03,-1.95429283935169917e+00,1.71707861956962446e+01,1,-2.76988210719218877e+01,1.08288156367678255e+02,3.61783369406298698e+03
1.26880000000000000e+05,6.02124579208130217e+03,-1.92974079995081738e+00,1.74103098322100713e+01,1,-2.75168533313241177e+01,1.08599677219937746e+02,3.61779358444980062e+03
1.26890000000000000e+05,6.00207154573429762e+03,-1.90489319921492029e+00,1.76480307699294734e+01,1,-2.73339937598715821e+01,1.08910031294891354e+02,3.61775352493019091e+03
1.26900000000000000e+05,5.98314719745979073e+03,-1.87975770665972419e+00,1.78838819526102917e+01,1,-2.71502521748956660e+01,1.09219225878759246e+02,3.61771351641474575e+03
1.26910000000000000e+05,5.96447852741470888e+03,-1.85432987134216742e+00,1.81177952217828349e+01,1,-2.69656383405981366e+01,1.09527268373778313e+02,3.61767355981188120e+03
1.26920000000000000e+05,5.94606219387769215e+03,-1.82860859381987195e+00,1.83497013435540914e+01,1,-2.67801619676637372e+01,1.09834166294273317e+02,3.61763365602788144e+03
1.26930000000000000e+05,5.92790516814305101e+03,-1.80259875781323697e+00,1.85795300384075581e+01,1,-2.65938327129077514e+01,1.10139927262800484e+02,3.61759380596700612e+03
